model,prompt,module,budget_index,importance_vs_relative_l2_spearman,importance_vs_cosine_error_spearman
qwen05,test_short_korean,model.layers.12.self_attn.k_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.self_attn.k_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.self_attn.k_proj,2,-0.8214285714285715,-0.8571428571428573
qwen05,test_short_korean,model.layers.12.self_attn.v_proj,0,-0.8928571428571429,-0.8928571428571429
qwen05,test_short_korean,model.layers.12.self_attn.v_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.12.self_attn.v_proj,2,-1.0,-1.0
qwen05,test_short_korean,model.layers.12.self_attn.o_proj,0,-0.642857142857143,-0.642857142857143
qwen05,test_short_korean,model.layers.12.self_attn.o_proj,1,-0.5357142857142858,-0.5357142857142858
qwen05,test_short_korean,model.layers.12.self_attn.o_proj,2,-0.9285714285714288,-0.9285714285714288
qwen05,test_short_korean,model.layers.12.mlp.gate_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.mlp.gate_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.12.mlp.gate_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.mlp.up_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.mlp.up_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.12.mlp.up_proj,2,-0.9285714285714288,-0.9285714285714288
qwen05,test_short_korean,model.layers.12.mlp.down_proj,0,-0.8571428571428573,-0.8571428571428573
qwen05,test_short_korean,model.layers.12.mlp.down_proj,1,-0.8214285714285715,-0.8214285714285715
qwen05,test_short_korean,model.layers.12.mlp.down_proj,2,-0.9285714285714288,-0.9285714285714288
qwen05,test_short_korean,model.layers.23.self_attn.q_proj,0,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.self_attn.q_proj,2,-0.8928571428571429,-0.8928571428571429
qwen05,test_short_korean,model.layers.23.self_attn.k_proj,0,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.self_attn.k_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.self_attn.k_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.self_attn.v_proj,0,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.self_attn.v_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.self_attn.v_proj,2,-0.8571428571428573,-0.8571428571428573
qwen05,test_short_korean,model.layers.23.self_attn.o_proj,0,-0.8571428571428573,-0.8571428571428573
qwen05,test_short_korean,model.layers.23.self_attn.o_proj,1,-0.8571428571428573,-0.8571428571428573
qwen05,test_short_korean,model.layers.23.self_attn.o_proj,2,0.03571428571428572,-0.14285714285714288
qwen05,test_short_korean,model.layers.23.mlp.gate_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.mlp.gate_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.mlp.gate_proj,2,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.mlp.up_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.mlp.up_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.mlp.up_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.mlp.down_proj,0,-1.0,-1.0
qwen05,test_short_korean,model.layers.23.mlp.down_proj,1,-0.9285714285714288,-0.9642857142857145
qwen05,test_short_korean,model.layers.23.mlp.down_proj,2,-0.8571428571428573,-0.8571428571428573
qwen05,test_medium_code,model.layers.0.self_attn.q_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.0.self_attn.q_proj,1,-0.8571428571428573,-0.8571428571428573
qwen05,test_medium_code,model.layers.0.self_attn.q_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.self_attn.k_proj,0,-0.8571428571428573,-0.8571428571428573
qwen05,test_medium_code,model.layers.0.self_attn.k_proj,1,-0.8214285714285715,-0.8214285714285715
qwen05,test_medium_code,model.layers.0.self_attn.k_proj,2,-1.0,-1.0
qwen05,test_medium_code,model.layers.0.self_attn.v_proj,0,-0.8214285714285715,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.self_attn.v_proj,1,-1.0,-1.0
qwen05,test_medium_code,model.layers.0.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.self_attn.o_proj,0,-0.7500000000000002,-0.8571428571428573
qwen05,test_medium_code,model.layers.0.self_attn.o_proj,1,-0.7857142857142859,-0.8571428571428573
qwen05,test_medium_code,model.layers.0.self_attn.o_proj,2,-0.7142857142857144,-0.8214285714285715
qwen05,test_medium_code,model.layers.0.mlp.gate_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.mlp.gate_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.mlp.gate_proj,2,-1.0,-1.0
qwen05,test_medium_code,model.layers.0.mlp.up_proj,0,-0.9285714285714288,-0.9285714285714288
qwen05,test_medium_code,model.layers.0.mlp.up_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.mlp.up_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.0.mlp.down_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.0.mlp.down_proj,1,-0.7500000000000002,-0.7500000000000002
qwen05,test_medium_code,model.layers.0.mlp.down_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.12.self_attn.q_proj,0,-1.0,-0.9642857142857145
qwen05,test_medium_code,model.layers.12.self_attn.q_proj,1,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.self_attn.q_proj,2,-0.7857142857142859,-0.7857142857142859
qwen05,test_medium_code,model.layers.12.self_attn.k_proj,0,-0.8928571428571429,-0.8928571428571429
qwen05,test_medium_code,model.layers.12.self_attn.k_proj,1,-0.9642857142857145,-0.8928571428571429
qwen05,test_medium_code,model.layers.12.self_attn.k_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.12.self_attn.v_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.self_attn.v_proj,1,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.12.self_attn.o_proj,0,-0.7500000000000002,-0.8571428571428573
qwen05,test_medium_code,model.layers.12.self_attn.o_proj,1,-0.8928571428571429,-0.8928571428571429
qwen05,test_medium_code,model.layers.12.self_attn.o_proj,2,-0.8214285714285715,-0.8214285714285715
qwen05,test_medium_code,model.layers.12.mlp.gate_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.mlp.gate_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.12.mlp.gate_proj,2,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.mlp.up_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.mlp.up_proj,1,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.mlp.up_proj,2,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.mlp.down_proj,0,-0.9285714285714288,-0.9285714285714288
qwen05,test_medium_code,model.layers.12.mlp.down_proj,1,-1.0,-1.0
qwen05,test_medium_code,model.layers.12.mlp.down_proj,2,-0.8928571428571429,-0.8928571428571429
qwen05,test_medium_code,model.layers.23.self_attn.q_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.23.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.self_attn.q_proj,2,-0.9642857142857145,-0.9285714285714288
qwen05,test_medium_code,model.layers.23.self_attn.k_proj,0,-1.0,-1.0
qwen05,test_medium_code,model.layers.23.self_attn.k_proj,1,-1.0,-1.0
qwen05,test_medium_code,model.layers.23.self_attn.k_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.self_attn.v_proj,0,-1.0,-0.9636363636363636
qwen05,test_medium_code,model.layers.23.self_attn.v_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.self_attn.o_proj,0,-0.7500000000000002,-0.5
qwen05,test_medium_code,model.layers.23.self_attn.o_proj,1,-0.8571428571428573,-0.8571428571428573
qwen05,test_medium_code,model.layers.23.self_attn.o_proj,2,-0.5357142857142858,-0.5357142857142858
qwen05,test_medium_code,model.layers.23.mlp.gate_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.mlp.gate_proj,1,-1.0,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.mlp.gate_proj,2,-0.7142857142857144,-0.9285714285714288
qwen05,test_medium_code,model.layers.23.mlp.up_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.mlp.up_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.mlp.up_proj,2,-0.7142857142857144,-0.8571428571428573
qwen05,test_medium_code,model.layers.23.mlp.down_proj,0,-0.9642857142857145,-1.0
qwen05,test_medium_code,model.layers.23.mlp.down_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_medium_code,model.layers.23.mlp.down_proj,2,-0.8571428571428573,-0.8571428571428573
qwen05,test_long_structured,model.layers.0.self_attn.q_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.self_attn.q_proj,2,-0.9642857142857145,-0.9549937104572925
qwen05,test_long_structured,model.layers.0.self_attn.k_proj,0,-0.8545454545454546,-0.8545454545454546
qwen05,test_long_structured,model.layers.0.self_attn.k_proj,1,-0.8571428571428573,-0.8571428571428573
qwen05,test_long_structured,model.layers.0.self_attn.k_proj,2,-1.0,-1.0
qwen05,test_long_structured,model.layers.0.self_attn.v_proj,0,-0.7818181818181817,-1.0
qwen05,test_long_structured,model.layers.0.self_attn.v_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.0.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.self_attn.o_proj,0,-0.8928571428571429,-0.8928571428571429
qwen05,test_long_structured,model.layers.0.self_attn.o_proj,1,-0.8928571428571429,-0.8928571428571429
qwen05,test_long_structured,model.layers.0.self_attn.o_proj,2,-0.7500000000000002,-0.7500000000000002
qwen05,test_long_structured,model.layers.0.mlp.gate_proj,0,-0.8928571428571429,-0.8928571428571429
qwen05,test_long_structured,model.layers.0.mlp.gate_proj,1,-0.8571428571428573,-1.0
qwen05,test_long_structured,model.layers.0.mlp.gate_proj,2,-1.0,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.mlp.up_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.0.mlp.up_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.mlp.up_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.mlp.down_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.0.mlp.down_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.0.mlp.down_proj,2,-0.8928571428571429,-0.8928571428571429
qwen05,test_long_structured,model.layers.12.self_attn.q_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.12.self_attn.q_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.self_attn.q_proj,2,-0.8571428571428573,-0.8571428571428573
qwen05,test_long_structured,model.layers.12.self_attn.k_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.12.self_attn.k_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.12.self_attn.k_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.12.self_attn.v_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.self_attn.v_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.12.self_attn.o_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.self_attn.o_proj,1,-0.8928571428571429,-0.8928571428571429
qwen05,test_long_structured,model.layers.12.self_attn.o_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.12.mlp.gate_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.mlp.gate_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.mlp.gate_proj,2,-0.8571428571428573,-0.8571428571428573
qwen05,test_long_structured,model.layers.12.mlp.up_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.mlp.up_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.mlp.up_proj,2,-0.8571428571428573,-0.8571428571428573
qwen05,test_long_structured,model.layers.12.mlp.down_proj,0,-0.8214285714285715,-0.7142857142857144
qwen05,test_long_structured,model.layers.12.mlp.down_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.12.mlp.down_proj,2,-0.9285714285714288,-0.9285714285714288
qwen05,test_long_structured,model.layers.23.self_attn.q_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.self_attn.q_proj,2,-0.8928571428571429,-0.8928571428571429
qwen05,test_long_structured,model.layers.23.self_attn.k_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.self_attn.k_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.self_attn.k_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.self_attn.v_proj,0,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.self_attn.v_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.self_attn.o_proj,0,-0.7500000000000002,-0.7500000000000002
qwen05,test_long_structured,model.layers.23.self_attn.o_proj,1,0.0,0.0
qwen05,test_long_structured,model.layers.23.self_attn.o_proj,2,-0.8571428571428573,-0.8214285714285715
qwen05,test_long_structured,model.layers.23.mlp.gate_proj,0,-0.9642857142857145,-0.8571428571428573
qwen05,test_long_structured,model.layers.23.mlp.gate_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.mlp.gate_proj,2,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.mlp.up_proj,0,-0.9285714285714288,-0.9285714285714288
qwen05,test_long_structured,model.layers.23.mlp.up_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.mlp.up_proj,2,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.mlp.down_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_long_structured,model.layers.23.mlp.down_proj,1,-1.0,-1.0
qwen05,test_long_structured,model.layers.23.mlp.down_proj,2,-0.9642857142857145,-0.8928571428571429
smol360,test_short_korean,model.layers.0.self_attn.q_proj,0,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.0.self_attn.q_proj,1,-0.9642857142857145,-1.0
smol360,test_short_korean,model.layers.0.self_attn.q_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.0.self_attn.k_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.0.self_attn.k_proj,1,-1.0,-1.0
smol360,test_short_korean,model.layers.0.self_attn.k_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.0.self_attn.v_proj,0,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.0.self_attn.v_proj,1,-1.0,-1.0
smol360,test_short_korean,model.layers.0.self_attn.v_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.0.self_attn.o_proj,0,-0.7857142857142859,-0.7500000000000002
smol360,test_short_korean,model.layers.0.self_attn.o_proj,1,-0.9285714285714288,-0.9285714285714288
smol360,test_short_korean,model.layers.0.self_attn.o_proj,2,-0.7857142857142859,-0.7857142857142859
smol360,test_short_korean,model.layers.0.mlp.gate_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.0.mlp.gate_proj,1,-1.0,-0.9642857142857145
smol360,test_short_korean,model.layers.0.mlp.gate_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.0.mlp.up_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.0.mlp.up_proj,1,-1.0,-1.0
smol360,test_short_korean,model.layers.0.mlp.up_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.0.mlp.down_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.0.mlp.down_proj,1,-0.9642857142857145,-0.9285714285714288
smol360,test_short_korean,model.layers.0.mlp.down_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.16.self_attn.q_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.16.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.16.self_attn.q_proj,2,-0.7857142857142859,-0.7857142857142859
smol360,test_short_korean,model.layers.16.self_attn.k_proj,0,-0.9642857142857145,-0.8928571428571429
smol360,test_short_korean,model.layers.16.self_attn.k_proj,1,-1.0,-1.0
smol360,test_short_korean,model.layers.16.self_attn.k_proj,2,-0.9285714285714288,-0.8571428571428573
smol360,test_short_korean,model.layers.16.self_attn.v_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.16.self_attn.v_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.16.self_attn.v_proj,2,-0.8571428571428573,-0.8571428571428573
smol360,test_short_korean,model.layers.16.self_attn.o_proj,0,-0.642857142857143,-0.642857142857143
smol360,test_short_korean,model.layers.16.self_attn.o_proj,1,-0.8571428571428573,-0.8571428571428573
smol360,test_short_korean,model.layers.16.self_attn.o_proj,2,-0.7500000000000002,-0.7500000000000002
smol360,test_short_korean,model.layers.16.mlp.gate_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.16.mlp.gate_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.16.mlp.gate_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.16.mlp.up_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.16.mlp.up_proj,1,-1.0,-1.0
smol360,test_short_korean,model.layers.16.mlp.up_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.16.mlp.down_proj,0,-0.8571428571428573,-0.8571428571428573
smol360,test_short_korean,model.layers.16.mlp.down_proj,1,-0.8214285714285715,-0.8214285714285715
smol360,test_short_korean,model.layers.16.mlp.down_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.31.self_attn.q_proj,0,-0.9285714285714288,-0.9285714285714288
smol360,test_short_korean,model.layers.31.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.31.self_attn.q_proj,2,-0.8214285714285715,-0.8214285714285715
smol360,test_short_korean,model.layers.31.self_attn.k_proj,0,-0.9285714285714288,-0.8571428571428573
smol360,test_short_korean,model.layers.31.self_attn.k_proj,1,-0.8928571428571429,-0.8928571428571429
smol360,test_short_korean,model.layers.31.self_attn.k_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.31.self_attn.v_proj,0,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.31.self_attn.v_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.31.self_attn.v_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.31.self_attn.o_proj,0,-1.0,-1.0
smol360,test_short_korean,model.layers.31.self_attn.o_proj,1,-0.9285714285714288,-0.9642857142857145
smol360,test_short_korean,model.layers.31.self_attn.o_proj,2,-0.7857142857142859,-0.7857142857142859
smol360,test_short_korean,model.layers.31.mlp.gate_proj,0,-0.7857142857142859,-0.7857142857142859
smol360,test_short_korean,model.layers.31.mlp.gate_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_short_korean,model.layers.31.mlp.gate_proj,2,-1.0,-0.9642857142857145
smol360,test_short_korean,model.layers.31.mlp.up_proj,0,-0.7857142857142859,-0.7857142857142859
smol360,test_short_korean,model.layers.31.mlp.up_proj,1,-0.9285714285714288,-0.9285714285714288
smol360,test_short_korean,model.layers.31.mlp.up_proj,2,-1.0,-1.0
smol360,test_short_korean,model.layers.31.mlp.down_proj,0,-0.8571428571428573,-0.7500000000000002
smol360,test_short_korean,model.layers.31.mlp.down_proj,1,-1.0,-1.0
smol360,test_short_korean,model.layers.31.mlp.down_proj,2,-0.8571428571428573,-0.8571428571428573
smol360,test_medium_code,model.layers.0.self_attn.q_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.q_proj,1,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.q_proj,2,-0.8928571428571429,-0.8928571428571429
smol360,test_medium_code,model.layers.0.self_attn.k_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.k_proj,1,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.k_proj,2,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.v_proj,0,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.0.self_attn.v_proj,1,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.v_proj,2,-0.8928571428571429,-0.8928571428571429
smol360,test_medium_code,model.layers.0.self_attn.o_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.0.self_attn.o_proj,1,-0.8571428571428573,-0.8571428571428573
smol360,test_medium_code,model.layers.0.self_attn.o_proj,2,-1.0,-1.0
smol360,test_medium_code,model.layers.0.mlp.gate_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.0.mlp.gate_proj,1,-0.9285714285714288,-1.0
smol360,test_medium_code,model.layers.0.mlp.gate_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.0.mlp.up_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.0.mlp.up_proj,1,-1.0,-1.0
smol360,test_medium_code,model.layers.0.mlp.up_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.0.mlp.down_proj,0,-0.9642857142857145,-1.0
smol360,test_medium_code,model.layers.0.mlp.down_proj,1,-1.0,-1.0
smol360,test_medium_code,model.layers.0.mlp.down_proj,2,-0.9642857142857145,-0.8571428571428573
smol360,test_medium_code,model.layers.16.self_attn.q_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.16.self_attn.q_proj,1,-1.0,-0.9642857142857145
smol360,test_medium_code,model.layers.16.self_attn.q_proj,2,-0.9285714285714288,-0.9285714285714288
smol360,test_medium_code,model.layers.16.self_attn.k_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.16.self_attn.k_proj,1,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.16.self_attn.k_proj,2,-0.9642857142857145,-1.0
smol360,test_medium_code,model.layers.16.self_attn.v_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.16.self_attn.v_proj,1,-0.8571428571428573,-0.8571428571428573
smol360,test_medium_code,model.layers.16.self_attn.v_proj,2,-1.0,-0.9642857142857145
smol360,test_medium_code,model.layers.16.self_attn.o_proj,0,-1.0,-0.9642857142857145
smol360,test_medium_code,model.layers.16.self_attn.o_proj,1,-0.9285714285714288,-0.9285714285714288
smol360,test_medium_code,model.layers.16.self_attn.o_proj,2,-0.8928571428571429,-0.8928571428571429
smol360,test_medium_code,model.layers.16.mlp.gate_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.16.mlp.gate_proj,1,-0.8928571428571429,-0.8928571428571429
smol360,test_medium_code,model.layers.16.mlp.gate_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.16.mlp.up_proj,0,-1.0,-1.0
smol360,test_medium_code,model.layers.16.mlp.up_proj,1,-1.0,-1.0
smol360,test_medium_code,model.layers.16.mlp.up_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.16.mlp.down_proj,0,-0.642857142857143,-0.5357142857142858
smol360,test_medium_code,model.layers.16.mlp.down_proj,1,-0.8928571428571429,-0.8928571428571429
smol360,test_medium_code,model.layers.16.mlp.down_proj,2,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.31.self_attn.q_proj,0,-0.9642857142857145,-0.9642857142857145
smol360,test_medium_code,model.layers.31.self_attn.q_proj,1,-0.9285714285714288,-0.9642857142857145
smol360,test_medium_code,model.layers.31.self_attn.q_proj,2,-0.8214285714285715,-0.4642857142857144
