case_id,repetition,io_ms,upload_ms,read_wall_ms,direct
qwen05-000011,1,0.483354,0.08504900000000001,0.630449,True
qwen05-000011,2,0.5157849999999999,0.08744299999999999,0.652019,True
qwen05-000012,0,0.592679,0.087384,0.744462,True
qwen05-000012,1,0.5926290000000001,0.08547,0.735747,True
qwen05-000012,2,0.600443,0.08890600000000001,0.73758,True
qwen05-000013,0,0.51348,0.086863,0.66838,True
qwen05-000013,1,0.49661900000000003,0.077064,0.624097,True
qwen05-000013,2,0.471983,0.080261,0.597748,True
qwen05-000014,0,0.415567,0.117229,0.586787,True
qwen05-000014,1,0.436446,0.113262,0.593771,True
qwen05-000014,2,0.436526,0.118241,0.599973,True
qwen05-000015,0,0.46004,0.125665,0.633515,True
qwen05-000015,1,0.51876,0.116518,0.688458,True
qwen05-000015,2,0.6819959999999999,0.11767,0.846934,True
qwen05-000016,0,0.9593339999999999,0.134802,1.180949,True
qwen05-000016,1,0.768738,0.15318600000000002,0.998738,True
qwen05-000016,2,0.493863,0.110336,0.666266,True
qwen05-000017,0,0.448098,0.109514,0.606515,True
qwen05-000017,1,0.44069400000000003,0.13396100000000002,0.627744,True
qwen05-000017,2,0.44121499999999997,0.12095600000000001,0.621432,True
qwen05-000018,0,0.507509,0.11746,0.679451,True
qwen05-000018,1,0.4919,0.113843,0.688207,True
qwen05-000018,2,0.5737129999999999,0.121207,0.757466,True
qwen05-000019,0,0.618737,0.121296,0.805286,True
qwen05-000019,1,0.530552,0.125074,0.7109,True
qwen05-000019,2,0.758278,0.142497,0.976266,True
qwen05-000020,0,0.5672200000000001,0.11073699999999999,0.72695,True
qwen05-000020,1,0.570287,0.122839,0.747138,True
qwen05-000020,2,0.643033,0.137267,0.835623,True
qwen05-000021,0,0.15877699999999997,0.014878,0.209371,True
qwen05-000021,1,0.220222,0.035396000000000004,0.304289,True
qwen05-000021,2,0.14773599999999998,0.043071,0.26181,True
qwen05-000022,0,0.122779,0.024565999999999998,0.188052,True
qwen05-000022,1,0.131226,0.018856,0.195445,True
qwen05-000022,2,0.15478,0.017453,0.216785,True
qwen05-000023,0,0.127118,0.017723,0.193983,True
qwen05-000023,1,0.15887700000000002,0.037891,0.242664,True
qwen05-000023,2,0.12858,0.018896,0.195897,True
qwen05-000024,0,0.239749,0.023765,0.311082,True
qwen05-000024,1,0.18976400000000002,0.026719999999999997,0.267871,True
qwen05-000024,2,0.194894,0.024917,0.268061,True
qwen05-000025,0,0.289221,0.040546,0.398876,True
qwen05-000025,1,0.340837,0.029696,0.435495,True
qwen05-000025,2,0.248805,0.029345,0.350204,True
qwen05-000026,0,0.324427,0.032140999999999996,0.419124,True
qwen05-000026,1,0.298328,0.028864,0.412973,True
qwen05-000026,2,0.266007,0.029174,0.351367,True
qwen05-000027,0,0.32648,0.034304,0.429163,True
qwen05-000027,1,0.29665499999999995,0.033533,0.393526,True
qwen05-000027,2,0.274794,0.031769,0.360855,True
qwen05-000028,0,0.14780600000000002,0.022452000000000003,0.209713,True
qwen05-000028,1,0.13010400000000003,0.02125,0.187431,True
qwen05-000028,2,0.129562,0.02146,0.185737,True
qwen05-000029,0,0.126787,0.02171,0.184706,True
qwen05-000029,1,0.129713,0.024295,0.189073,True
qwen05-000029,2,0.140192,0.022672,0.199774,True
qwen05-000030,0,0.125845,0.022182,0.195305,True
qwen05-000030,1,0.17028800000000002,0.023554,0.238897,True
qwen05-000030,2,0.136565,0.024815999999999998,0.207749,True
qwen05-000031,0,0.23730400000000001,0.035817,0.340287,True
qwen05-000031,1,0.20710699999999999,0.033613,0.306233,True
qwen05-000031,2,0.233467,0.039193,0.340767,True
qwen05-000032,0,0.23625200000000002,0.027191,0.311582,True
qwen05-000032,1,0.248254,0.039414000000000005,0.346037,True
qwen05-000032,2,0.29388,0.032461,0.388657,True
qwen05-000033,0,0.410468,0.032601,0.50805,True
qwen05-000033,1,0.369371,0.038843,0.471021,True
qwen05-000033,2,0.353601,0.036097000000000004,0.453809,True
qwen05-000034,0,0.366365,0.039694,0.460912,True
qwen05-000034,1,0.35092599999999996,0.032430999999999995,0.446224,True
qwen05-000034,2,0.389318,0.035356,0.481741,True
qwen05-000035,0,0.20813900000000002,0.030707,0.277529,True
qwen05-000035,1,0.220492,0.03197,0.288449,True
qwen05-000035,2,0.184235,0.02659,0.247272,True
qwen05-000036,0,0.184786,0.033222,0.259716,True
qwen05-000036,1,0.256289,0.049573,0.365784,True
qwen05-000036,2,0.187661,0.027912,0.275054,True
qwen05-000037,0,0.193652,0.024896,0.255338,True
qwen05-000037,1,0.165259,0.025508,0.226003,True
qwen05-000037,2,0.18903399999999998,0.031579,0.263433,True
qwen05-000038,0,0.246271,0.045365,0.343843,True
qwen05-000038,1,0.271157,0.037119,0.373358,True
qwen05-000038,2,0.268632,0.036719,0.364862,True
qwen05-000039,0,0.262861,0.033322000000000004,0.344945,True
qwen05-000039,1,0.241542,0.030186,0.314658,True
qwen05-000039,2,0.25043899999999997,0.033212000000000005,0.326892,True
qwen05-000040,0,0.44575400000000004,0.038893000000000004,0.537054,True
qwen05-000040,1,0.456604,0.042509,0.551813,True
qwen05-000040,2,0.474928,0.039584,0.569886,True
qwen05-000041,0,0.503352,0.039954,0.611974,True
qwen05-000041,1,0.463397,0.03736,0.560158,True
qwen05-000041,2,0.394748,0.042339,0.489906,True
qwen05-000042,0,0.140463,0.019166,0.198441,True
qwen05-000042,1,0.160551,0.023224,0.225552,True
qwen05-000042,2,0.125405,0.016079999999999997,0.182662,True
qwen05-000043,0,0.126887,0.015257999999999999,0.177011,True
qwen05-000043,1,0.125555,0.015519,0.174576,True
qwen05-000043,2,0.146444,0.016321000000000002,0.197038,True
qwen05-000044,0,0.122098,0.016341,0.174356,True
qwen05-000044,1,0.124153,0.015469,0.172532,True
qwen05-000044,2,0.12898099999999998,0.015368999999999999,0.176971,True
qwen05-000045,0,0.17957599999999999,0.0376,0.27287,True
qwen05-000045,1,0.201326,0.025318,0.290364,True
qwen05-000045,2,0.20402199999999998,0.029525,0.292417,True
qwen05-000046,0,0.216575,0.033342,0.305631,True
qwen05-000046,1,0.283731,0.027161,0.368649,True
qwen05-000046,2,0.247302,0.024095,0.318416,True
qwen05-000047,0,0.311573,0.03698,0.41719,True
qwen05-000047,1,0.303257,0.029013999999999998,0.392924,True
qwen05-000047,2,0.26703899999999997,0.025176999999999998,0.340838,True
qwen05-000048,0,0.337852,0.036116999999999996,0.451615,True
qwen05-000048,1,0.29947,0.022743,0.379991,True
qwen05-000048,2,0.316872,0.027281,0.391953,True
qwen05-000049,0,0.137226,0.036899,0.224019,True
qwen05-000049,1,0.142997,0.023554,0.220453,True
qwen05-000049,2,0.13026400000000002,0.022091,0.196017,True
qwen05-000050,0,0.139701,0.020708999999999998,0.194744,True
qwen05-000050,1,0.140704,0.033993999999999996,0.220342,True
qwen05-000050,2,0.15469,0.024326,0.23481,True
qwen05-000051,0,0.13045400000000001,0.02147,0.188132,True
qwen05-000051,1,0.139491,0.02109,0.196037,True
qwen05-000051,2,0.131346,0.020729,0.185838,True
qwen05-000052,0,0.235711,0.030626999999999998,0.313757,True
qwen05-000052,1,0.226804,0.028422999999999997,0.306002,True
qwen05-000052,2,0.26860300000000004,0.038943,0.361877,True
qwen05-000053,0,0.305421,0.033342,0.388085,True
qwen05-000053,1,0.23584200000000002,0.029795000000000002,0.314879,True
qwen05-000053,2,0.239057,0.030556999999999997,0.314869,True
qwen05-000054,0,0.298077,0.03187,0.382696,True
qwen05-000054,1,0.344895,0.033082,0.429854,True
qwen05-000054,2,0.329096,0.031169,0.41162,True
qwen05-000055,0,0.40750200000000003,0.031559000000000004,0.501518,True
qwen05-000055,1,0.461423,0.031369,0.541342,True
qwen05-000055,2,0.40670100000000003,0.041388,0.571058,True
qwen05-000056,0,0.166231,0.024686,0.226794,True
qwen05-000056,1,0.165199,0.024616,0.222587,True
qwen05-000056,2,0.16058,0.024786000000000002,0.218228,True
qwen05-000057,0,0.1815,0.028864,0.265707,True
qwen05-000057,1,0.165449,0.026809999999999997,0.237545,True
qwen05-000057,2,0.166902,0.027391,0.236954,True
qwen05-000058,0,0.17088,0.028312999999999998,0.253604,True
qwen05-000058,1,0.179185,0.028733,0.254597,True
qwen05-000058,2,0.160971,0.027622,0.236062,True
qwen05-000059,0,0.29330900000000004,0.04284,0.407131,True
qwen05-000059,1,0.270285,0.031428,0.361226,True
qwen05-000059,2,0.24125200000000002,0.037399999999999996,0.330188,True
qwen05-000060,0,0.290834,0.036889000000000005,0.385501,True
qwen05-000060,1,0.282839,0.03214,0.366696,True
qwen05-000060,2,0.252002,0.036558999999999994,0.340356,True
qwen05-000061,0,0.37661399999999995,0.036337,0.464789,True
qwen05-000061,1,0.368679,0.034755,0.450853,True
qwen05-000061,2,0.324346,0.036488,0.407332,True
qwen05-000062,0,0.415437,0.037771,0.506056,True
qwen05-000062,1,0.49434500000000003,0.038232,0.585575,True
qwen05-000062,2,0.477764,0.035336,0.564907,True
qwen05-000063,0,0.27327100000000004,0.044784,0.360795,True
qwen05-000063,1,0.262731,0.044083,0.344194,True
qwen05-000063,2,0.35553500000000005,0.051526,0.450653,True
qwen05-000064,0,0.37415,0.043982,0.45455,True
qwen05-000064,1,0.231453,0.043991999999999996,0.308377,True
qwen05-000064,2,0.409966,0.052088,0.50248,True
qwen05-000065,0,0.405899,0.057538,0.522989,True
qwen05-000065,1,0.285053,0.054052,0.391472,True
qwen05-000065,2,0.409696,0.054592,0.507339,True
qwen05-000066,0,0.394327,0.06406999999999999,0.53488,True
qwen05-000066,1,0.42255000000000004,0.06935899999999999,0.564896,True
qwen05-000066,2,0.36706599999999995,0.065983,0.499694,True
qwen05-000067,0,0.356878,0.059973,0.483935,True
qwen05-000067,1,0.435224,0.056797,0.557522,True
qwen05-000067,2,0.356567,0.053681,0.468196,True
qwen05-000068,0,0.393386,0.060563000000000006,0.505956,True
qwen05-000068,1,0.526575,0.06427,0.659273,True
qwen05-000068,2,0.662239,0.07462,0.816377,True
qwen05-000069,0,0.511807,0.068037,0.667919,True
qwen05-000069,1,0.5050749999999999,0.060753,0.641599,True
qwen05-000069,2,0.423783,0.057337000000000006,0.53995,True
qwen05-000070,0,0.352509,0.094176,0.544439,True
qwen05-000070,1,0.321171,0.079388,0.466312,True
qwen05-000070,2,0.32589999999999997,0.073317,0.447006,True
qwen05-000071,0,0.39316500000000004,0.078346,0.521375,True
qwen05-000071,1,0.36178699999999997,0.0958,0.509072,True
qwen05-000071,2,0.359182,0.08890600000000001,0.505535,True
qwen05-000072,0,0.49338299999999996,0.081512,0.618376,True
qwen05-000072,1,0.331731,0.077295,0.451595,True
qwen05-000072,2,0.43324,0.082494,0.562362,True
qwen05-000073,0,0.323985,0.085369,0.470741,True
qwen05-000073,1,0.338223,0.084057,0.471512,True
qwen05-000073,2,0.322202,0.081813,0.447688,True
qwen05-000074,0,0.525453,0.08986799999999999,0.685853,True
qwen05-000074,1,0.50798,0.099095,0.672057,True
qwen05-000074,2,0.43496300000000004,0.09073,0.631781,True
qwen05-000075,0,0.646389,0.090299,0.792632,True
qwen05-000075,1,0.658211,0.086742,0.805667,True
qwen05-000075,2,0.48289299999999996,0.085089,0.618457,True
qwen05-000076,0,0.5790230000000001,0.09730200000000001,0.730786,True
qwen05-000076,1,0.638363,0.097682,0.805367,True
qwen05-000076,2,0.632773,0.119063,0.822018,True
qwen05-000077,0,0.5182190000000001,0.119524,0.688117,True
qwen05-000077,1,0.602727,0.124754,0.779869,True
qwen05-000077,2,0.490037,0.12573499999999999,0.676866,True
qwen05-000078,0,0.440795,0.10290300000000001,0.582589,True
qwen05-000078,1,0.41158999999999996,0.106479,0.553425,True
qwen05-000078,2,0.419545,0.10258199999999999,0.5563,True
qwen05-000079,0,0.960957,0.115676,1.137808,True
qwen05-000079,1,0.6575599999999999,0.114414,0.819903,True
qwen05-000079,2,0.63115,0.11154800000000001,0.790268,True
qwen05-000080,0,0.436286,0.115627,0.606985,True
qwen05-000080,1,0.37351799999999996,0.119343,0.535511,True
qwen05-000080,2,0.436958,0.11369199999999999,0.596666,True
qwen05-000081,0,0.505656,0.136315,0.690702,True
qwen05-000081,1,0.48773200000000005,0.12831,0.675303,True
qwen05-000081,2,0.6132369999999999,0.127448,0.810827,True
qwen05-000082,0,0.526605,0.126617,0.709968,True
qwen05-000082,1,0.621813,0.13299799999999998,0.825714,True
qwen05-000082,2,0.645307,0.11815099999999999,0.826025,True
qwen05-000083,0,0.7575069999999999,0.127268,0.953122,True
qwen05-000083,1,0.667689,0.13206800000000002,0.85546,True
qwen05-000083,2,0.6293970000000001,0.120536,0.800457,True
qwen05-000084,0,0.678279,0.21380000000000002,1.016851,True
qwen05-000084,1,0.793945,0.194133,1.059221,True
qwen05-000084,2,0.6218429999999999,0.188994,0.879455,True
qwen05-000085,0,0.62034,0.20874,0.887019,True
qwen05-000085,1,0.626321,0.199203,0.890536,True
qwen05-000085,2,0.6060829999999999,0.204363,0.863566,True
qwen05-000086,0,0.571509,0.19831100000000002,0.814744,True
qwen05-000086,1,0.584083,0.196899,0.81836,True
qwen05-000086,2,0.6051620000000001,0.197419,0.83969,True
qwen05-000087,0,0.61999,0.20447200000000001,0.882391,True
qwen05-000087,1,0.6196889999999999,0.21714599999999998,0.902759,True
qwen05-000087,2,0.582069,0.189725,0.834771,True
qwen05-000088,0,0.637212,0.204542,0.888632,True
qwen05-000088,1,0.627163,0.201556,0.878463,True
qwen05-000088,2,0.623666,0.20073500000000002,0.874886,True
qwen05-000089,0,0.680492,0.201797,0.94136,True
qwen05-000089,1,0.655165,0.20447200000000001,0.911945,True
qwen05-000089,2,0.6782279999999999,0.205394,0.93548,True
qwen05-000090,0,0.746165,0.188382,0.993007,True
qwen05-000090,1,0.7292540000000001,0.187451,0.973691,True
qwen05-000090,2,0.7551319999999999,0.184585,1.002114,True
qwen05-000091,0,1.6377819999999998,0.414456,2.185166,True
qwen05-000091,1,1.142117,0.447787,1.732881,True
qwen05-000091,2,1.242834,0.445673,1.878874,True
qwen05-000092,0,0.950798,0.40897500000000003,1.430045,True
qwen05-000092,1,0.917495,0.388326,1.380211,True
qwen05-000092,2,0.915442,0.395721,1.36335,True
qwen05-000093,0,1.209021,0.41193,1.740715,True
qwen05-000093,1,1.2353299999999998,0.412992,1.742429,True
qwen05-000093,2,1.281957,0.437599,1.849128,True
qwen05-000094,0,1.0164900000000001,0.424183,1.512588,True
qwen05-000094,1,1.041147,0.41630900000000004,1.533017,True
qwen05-000094,2,0.986606,0.395259,1.501197,True
qwen05-000095,0,1.008195,0.391001,1.464949,True
qwen05-000095,1,1.014337,0.398295,1.504243,True
qwen05-000095,2,1.030177,0.378689,1.51857,True
qwen05-000096,0,1.00509,0.402443,1.49177,True
qwen05-000096,1,0.982718,0.387815,1.435785,True
qwen05-000096,2,1.0179740000000002,0.359873,1.435424,True
qwen05-000097,0,0.988739,0.361065,1.458217,True
qwen05-000097,1,1.007314,0.355745,1.428812,True
qwen05-000097,2,1.1068699999999998,0.423102,1.602888,True
qwen05-000098,0,1.298328,0.5987899999999999,1.976256,True
qwen05-000098,1,1.290684,0.5811369999999999,1.978621,True
qwen05-000098,2,1.3029870000000001,0.520824,1.911014,True
qwen05-000099,0,1.524781,0.520474,2.130164,True
qwen05-000099,1,1.504674,0.5774,2.143379,True
qwen05-000099,2,1.5171569999999999,0.5260940000000001,2.110778,True
qwen05-000100,0,1.697414,0.6014550000000001,2.41724,True
qwen05-000100,1,1.694198,0.5779610000000001,2.405438,True
qwen05-000100,2,1.733332,0.535362,2.397684,True
qwen05-000101,0,1.599783,0.603038,2.314789,True
qwen05-000101,1,1.56143,0.522377,2.200064,True
qwen05-000101,2,1.5813679999999999,0.528157,2.22429,True
qwen05-000102,0,1.532877,0.547664,2.253124,True
qwen05-000102,1,1.381254,0.6019260000000001,2.12805,True
qwen05-000102,2,1.480219,0.5960850000000001,2.178004,True
qwen05-000103,0,1.325038,0.5760069999999999,1.987376,True
qwen05-000103,1,1.389048,0.5867169999999999,2.105498,True
qwen05-000103,2,1.355716,0.524882,2.022573,True
qwen05-000104,0,1.27231,0.510645,1.855731,True
qwen05-000104,1,1.2472429999999999,0.580787,1.880157,True
qwen05-000104,2,1.364712,0.529541,1.953413,True
qwen05-000105,0,0.670494,0.21363,0.964845,True
qwen05-000105,1,0.665625,0.20013399999999998,0.944517,True
qwen05-000105,2,0.647821,0.19989400000000002,0.896386,True
qwen05-000106,0,0.630399,0.19881200000000002,0.883643,True
qwen05-000106,1,0.6220030000000001,0.205174,0.875257,True
qwen05-000106,2,0.6419600000000001,0.205024,0.897238,True
qwen05-000107,0,0.591015,0.20652600000000002,0.870438,True
qwen05-000107,1,0.6019260000000001,0.21491200000000002,0.896066,True
qwen05-000107,2,0.565307,0.198902,0.838428,True
qwen05-000108,0,0.631201,0.205725,0.897318,True
qwen05-000108,1,0.6121749999999999,0.197289,0.854207,True
qwen05-000108,2,0.61472,0.2034,0.863055,True
qwen05-000109,0,0.639015,0.206697,0.923548,True
qwen05-000109,1,0.628606,0.20172700000000002,0.911204,True
qwen05-000109,2,0.664402,0.199423,0.913428,True
qwen05-000110,0,0.71121,0.215834,1.017052,True
qwen05-000110,1,0.7053189999999999,0.205174,0.974553,True
qwen05-000110,2,0.6662659999999999,0.19650800000000002,0.915462,True
qwen05-000111,0,0.747499,0.215553,1.020118,True
qwen05-000111,1,0.719626,0.202329,0.984662,True
qwen05-000111,2,0.765683,0.205374,1.028023,True
qwen05-000112,0,1.073648,0.411059,1.572852,True
qwen05-000112,1,1.081242,0.42562599999999995,1.637793,True
qwen05-000112,2,1.11195,0.39846499999999996,1.632083,True
qwen05-000113,0,0.9514589999999999,0.400479,1.425987,True
qwen05-000113,1,1.047228,0.412711,1.52342,True
qwen05-000113,2,1.010039,0.358711,1.437057,True
qwen05-000114,0,1.2255319999999998,0.40093,1.701172,True
qwen05-000114,1,1.217246,0.416098,1.719286,True
qwen05-000114,2,1.260939,0.382435,1.768969,True
qwen05-000115,0,1.039625,0.395329,1.498883,True
qwen05-000115,1,1.0265,0.404717,1.49713,True
qwen05-000115,2,1.0504449999999999,0.364692,1.501839,True
qwen05-000116,0,1.071885,0.40348500000000004,1.555379,True
qwen05-000116,1,1.137608,0.39858499999999997,1.606384,True
qwen05-000116,2,1.0470979999999999,0.400789,1.550319,True
qwen05-000117,0,1.022863,0.406229,1.501709,True
qwen05-000117,1,0.966567,0.39038,1.420556,True
qwen05-000117,2,1.018174,0.355204,1.424134,True
qwen05-000118,0,1.077766,0.439742,1.681014,True
qwen05-000118,1,0.975734,0.382996,1.500677,True
qwen05-000118,2,1.030828,0.420928,1.585265,True
qwen05-000119,0,1.351728,0.589883,2.019617,True
qwen05-000119,1,1.366355,0.5332380000000001,1.999129,True
qwen05-000119,2,1.366335,0.5221359999999999,1.975685,True
qwen05-000120,0,1.451635,0.604471,2.152856,True
qwen05-000120,1,1.5002760000000002,0.5993010000000001,2.210194,True
qwen05-000120,2,1.4925920000000001,0.515765,2.094668,True
qwen05-000121,0,1.663601,0.589763,2.347931,True
qwen05-000121,1,1.6521700000000001,0.573012,2.35219,True
qwen05-000121,2,1.6898,0.537244,2.352439,True
qwen05-000122,0,1.560649,0.6079070000000001,2.265888,True
qwen05-000122,1,1.648974,0.542504,2.314068,True
qwen05-000122,2,1.577922,0.535282,2.22952,True
qwen05-000123,0,1.428913,0.513591,2.054683,True
qwen05-000123,1,1.429413,0.5971369999999999,2.107471,True
qwen05-000123,2,1.2980180000000001,0.590654,1.977409,True
qwen05-000124,0,1.3249380000000002,0.606214,2.085741,True
qwen05-000124,1,1.457636,0.5554990000000001,2.137859,True
qwen05-000124,2,1.366085,0.529971,2.00531,True
qwen05-000125,0,1.249066,0.5265650000000001,1.848336,True
qwen05-000125,1,1.173946,0.584904,1.825525,True
qwen05-000125,2,1.247042,0.525513,1.86101,True
qwen05-000126,0,0.6993980000000001,0.271638,1.064821,True
qwen05-000126,1,0.729093,0.209672,1.025258,True
qwen05-000126,2,0.720798,0.183884,0.975795,True
qwen05-000127,0,0.663812,0.197369,0.909922,True
qwen05-000127,1,0.642412,0.21101499999999998,0.9036,True
qwen05-000127,2,0.618066,0.202829,0.881299,True
qwen05-000128,0,0.769058,0.195576,1.010891,True
qwen05-000128,1,0.771313,0.21306899999999998,1.039805,True
qwen05-000128,2,0.7544109999999999,0.19813,1.019707,True
qwen05-000129,0,0.617545,0.19096700000000003,0.872752,True
qwen05-000129,1,0.576037,0.18678899999999998,0.811909,True
qwen05-000129,2,0.5975779999999999,0.205133,0.847515,True
qwen05-000130,0,0.676885,0.201396,0.943234,True
qwen05-000130,1,0.675704,0.20743799999999998,0.938065,True
qwen05-000130,2,0.658332,0.198992,0.915442,True
qwen05-000131,0,0.708856,0.18838300000000002,0.958062,True
qwen05-000131,1,0.708495,0.19321100000000002,0.963592,True
qwen05-000131,2,0.705249,0.201717,0.971087,True
qwen05-000132,0,0.804034,0.211596,1.075863,True
qwen05-000132,1,0.773036,0.205995,1.041177,True
qwen05-000132,2,0.7845570000000001,0.204833,1.064942,True
qwen05-000133,0,1.031268,0.397844,1.492842,True
qwen05-000133,1,1.0683779999999998,0.40073000000000003,1.529089,True
qwen05-000133,2,0.995272,0.39613099999999996,1.455092,True
qwen05-000134,0,0.9961530000000001,0.396442,1.467574,True
qwen05-000134,1,0.9836889999999999,0.40224200000000004,1.449901,True
qwen05-000134,2,1.0540319999999999,0.393546,1.511297,True
qwen05-000135,0,1.3638299999999999,0.373729,1.831286,True
qwen05-000135,1,1.282149,0.39942700000000003,1.771954,True
qwen05-000135,2,1.142396,0.405548,1.634436,True
qwen05-000136,0,1.01575,0.40091000000000004,1.493603,True
qwen05-000136,1,1.1025319999999998,0.406039,1.589523,True
qwen05-000136,2,1.098044,0.36173700000000003,1.55052,True
qwen05-000137,0,0.99976,0.398355,1.49181,True
qwen05-000137,1,0.9823780000000001,0.3956,1.454321,True
qwen05-000137,2,1.018575,0.40119,1.480529,True
qwen05-000138,0,1.0647419999999999,0.375562,1.571559,True
qwen05-000138,1,1.0376910000000001,0.349634,1.474568,True
qwen05-000138,2,0.983519,0.356627,1.401822,True
qwen05-000139,0,1.022443,0.38640199999999997,1.506798,True
qwen05-000139,1,1.077175,0.351748,1.526575,True
qwen05-000139,2,1.0299559999999999,0.350265,1.449902,True
qwen05-000140,0,1.3539919999999999,0.590324,2.027692,True
qwen05-000140,1,1.430476,0.577851,2.110938,True
qwen05-000140,2,1.440173,0.580586,2.174056,True
qwen05-000141,0,1.364452,0.564826,2.05346,True
qwen05-000141,1,1.3904,0.583842,2.080291,True
qwen05-000141,2,1.3782370000000002,0.58846,2.043692,True
qwen05-000142,0,1.661827,0.642481,2.471432,True
qwen05-000142,1,1.7871320000000002,0.5732119999999999,2.535172,True
qwen05-000142,2,1.720999,0.549067,2.431727,True
qwen05-000143,0,1.7090560000000001,0.587739,2.398997,True
qwen05-000143,1,1.57755,0.52883,2.19755,True
qwen05-000143,2,1.657941,0.584063,2.3847,True
qwen05-000144,0,1.406921,0.516656,2.055083,True
qwen05-000144,1,1.3445150000000001,0.633926,2.092423,True
qwen05-000144,2,1.324507,0.5926079999999999,2.028104,True
qwen05-000145,0,1.3340750000000001,0.548676,2.033593,True
qwen05-000145,1,1.4639469999999999,0.546402,2.16533,True
qwen05-000145,2,1.3404269999999998,0.573673,2.012193,True
qwen05-000146,0,1.228437,0.589081,1.900464,True
qwen05-000146,1,1.219561,0.5157849999999999,1.808091,True
qwen05-000146,2,1.326571,0.535852,1.952081,True
qwen05-000147,0,0.214541,0.044212,0.296645,True
qwen05-000147,1,0.23289500000000002,0.067497,0.351567,True
qwen05-000147,2,0.236091,0.047598999999999995,0.344264,True
qwen05-000148,0,0.34054700000000004,0.04813,0.424524,True
qwen05-000148,1,0.34827199999999997,0.044052,0.425666,True
qwen05-000148,2,0.337241,0.055754,0.440965,True
qwen05-000149,0,0.349082,0.06879900000000001,0.46538,True
qwen05-000149,1,0.35577600000000004,0.045996,0.458718,True
qwen05-000149,2,0.348782,0.045325000000000004,0.43835,True
qwen05-000150,0,0.312555,0.05845,0.440373,True
qwen05-000150,1,0.328124,0.054472,0.44915,True
qwen05-000150,2,0.373488,0.061926,0.494194,True
qwen05-000151,0,0.437759,0.054392,0.547343,True
qwen05-000151,1,0.39881599999999995,0.049372,0.503752,True
qwen05-000151,2,0.349543,0.060743000000000005,0.472063,True
qwen05-000152,0,0.381704,0.054852,0.495046,True
qwen05-000152,1,0.357639,0.054171,0.45978,True
qwen05-000152,2,0.398364,0.056796,0.503281,True
qwen05-000153,0,0.485017,0.056616,0.595364,True
qwen05-000153,1,0.48695,0.065853,0.602637,True
qwen05-000153,2,0.516827,0.06528199999999999,0.652901,True
qwen05-000154,0,0.307425,0.09955599999999999,0.462445,True
qwen05-000154,1,0.302035,0.081532,0.445544,True
qwen05-000154,2,0.311122,0.095568,0.468856,True
qwen05-000155,0,0.36361,0.07220499999999999,0.473505,True
qwen05-000155,1,0.337081,0.07255500000000001,0.445222,True
qwen05-000155,2,0.345296,0.091241,0.488293,True
qwen05-000156,0,0.398125,0.08042,0.539289,True
qwen05-000156,1,0.511737,0.106029,0.675713,True
qwen05-000156,2,0.43935199999999996,0.079018,0.578693,True
qwen05-000157,0,0.367287,0.087473,0.515845,True
qwen05-000157,1,0.33402499999999996,0.080681,0.460832,True
qwen05-000157,2,0.350205,0.082073,0.476461,True
qwen05-000158,0,0.467795,0.10229099999999999,0.645738,True
qwen05-000158,1,0.515985,0.08566,0.739243,True
qwen05-000158,2,0.489445,0.094256,0.642552,True
qwen05-000159,0,0.46802499999999997,0.086351,0.617003,True
